time,open,high,low,close,volume
1728547200000,18.235,18.261,18.001,18.201,65651.8
1728561600000,18.201,18.242,17.997,18.235,108209.5
1728576000000,18.235,18.305,17.874,18.097,139360.5
1728590400000,18.097,18.189,18.06,18.187,40843.2
1728604800000,18.187,18.317,18.148,18.284,42382.0
1728619200000,18.284,18.317,18.201,18.26,49231.0
1728633600000,18.26,18.374,18.235,18.309,58278.6
1728648000000,18.309,18.599,18.278,18.563,123082.1
1728662400000,18.563,18.697,18.477,18.656,82171.5
1728676800000,18.656,18.722,18.517,18.572,87367.1
1728691200000,18.572,18.675,18.471,18.517,72848.2
1728705600000,18.517,18.754,18.517,18.734,32082.9
1728720000000,18.734,18.883,18.7,18.779,71285.6
1728734400000,18.779,18.923,18.76,18.804,48706.2
1728748800000,18.804,18.848,18.688,18.773,64535.4
1728763200000,18.773,18.828,18.745,18.767,36951.4
1728777600000,18.767,18.833,18.59,18.644,77904.7
1728792000000,18.644,18.755,18.641,18.706,29232.8
1728806400000,18.706,18.724,18.513,18.519,38806.3
1728820800000,18.519,18.613,18.242,18.347,110424.6
1728835200000,18.347,18.505,18.313,18.496,32918.9
1728849600000,18.496,18.584,18.458,18.534,56747.3
1728864000000,18.534,18.906,18.368,18.873,102232.4
1728878400000,18.873,18.963,18.667,18.941,120428.9
1728892800000,18.941,19.06,18.864,18.932,109123.4
1728907200000,18.932,19.472,18.893,19.447,289842.8
1728921600000,19.447,19.554,19.313,19.458,119880.1
1728936000000,19.458,19.628,19.392,19.489,85744.6
1728950400000,19.489,19.69,19.268,19.277,130415.7
1728964800000,19.277,19.356,19.119,19.254,86343.0
1728979200000,19.254,19.329,18.874,18.953,147779.7
1728993600000,18.953,19.763,18.677,19.032,466189.4
1729008000000,19.032,19.433,19.032,19.213,119020.2
1729022400000,19.213,19.364,18.974,19.35,74500.9
1729036800000,19.35,19.643,19.305,19.476,157275.7
1729051200000,19.476,19.514,19.166,19.26,150952.6
1729065600000,19.26,19.811,19.25,19.586,222661.1
1729080000000,19.586,19.636,19.285,19.348,139315.1
1729094400000,19.348,19.394,19.178,19.35,70619.9
1729108800000,19.35,19.514,19.328,19.362,52000.1
1729123200000,19.362,19.604,19.359,19.509,118058.9
1729137600000,19.509,19.532,19.096,19.187,126511.9
1729152000000,19.187,19.19,18.846,18.881,136943.1
1729166400000,18.881,19.051,18.726,19.029,182504.8
1729180800000,19.029,19.053,18.75,18.925,94776.3
1729195200000,18.925,19.103,18.894,19.036,77158.5
1729209600000,19.036,19.323,18.972,19.072,77236.7
1729224000000,19.072,19.257,19.066,19.186,56025.8
1729238400000,19.186,19.24,19.06,19.073,62898.5
1729252800000,19.073,19.299,19.001,19.251,75957.7
1729267200000,19.251,19.409,19.166,19.24,104749.9
1729281600000,19.24,19.363,19.183,19.355,37937.0
1729296000000,19.355,19.62,19.355,19.479,86525.4
1729310400000,19.479,19.526,19.334,19.362,51236.8
1729324800000,19.362,19.391,19.207,19.208,37912.6
1729339200000,19.208,19.443,19.208,19.41,33332.7
1729353600000,19.41,19.879,19.318,19.596,140809.8
1729368000000,19.596,19.911,19.575,19.881,90518.4
1729382400000,19.881,19.906,19.604,19.69,85594.1
1729396800000,19.69,19.774,19.613,19.638,78561.4
1729411200000,19.638,19.71,19.576,19.652,44846.0
1729425600000,19.652,20.356,19.537,20.125,247766.4
1729440000000,20.125,20.135,19.763,19.786,156264.1
1729454400000,19.786,20.248,19.786,20.187,125003.7
1729468800000,20.187,20.29,19.808,19.949,177242.3
1729483200000,19.949,20.14,19.874,19.91,104958.7
1729497600000,19.91,19.984,19.761,19.802,106926.0
1729512000000,19.802,19.875,19.355,19.49,209051.9
1729526400000,19.49,19.618,19.337,19.591,74151.1
1729540800000,19.591,19.591,19.401,19.407,40480.7
1729555200000,19.407,19.528,19.101,19.444,135668.0
1729569600000,19.444,19.492,19.252,19.278,81218.6
1729584000000,19.278,19.306,19.04,19.182,128194.3
1729598400000,19.182,19.257,18.857,18.98,216052.6
1729612800000,18.98,19.078,18.87,19.02,56072.7
1729627200000,19.02,19.114,18.93,19.06,57036.7
1729641600000,19.06,19.071,18.812,18.927,59840.9
1729656000000,18.927,18.958,18.783,18.801,61699.2
1729670400000,18.801,18.833,18.614,18.705,122862.8
1729684800000,18.705,18.815,18.559,18.671,148970.3
1729699200000,18.671,18.688,18.166,18.534,276743.8
1729713600000,18.534,18.649,18.505,18.632,52449.8
1729728000000,18.632,18.858,18.577,18.776,77234.7
1729742400000,18.776,18.861,18.623,18.633,50074.7
1729756800000,18.633,18.698,18.417,18.653,67606.9
1729771200000,18.653,18.833,18.64,18.734,107979.5
1729785600000,18.734,18.91,18.666,18.901,55331.7
1729800000000,18.901,19.005,18.808,18.87,61141.2
1729814400000,18.87,18.889,18.673,18.729,52549.9
1729828800000,18.729,18.849,18.502,18.69,91713.4
1729843200000,18.69,19.264,18.653,19.202,136588.1
1729857600000,19.202,19.399,19.088,19.243,201106.6
1729872000000,19.243,19.491,18.721,18.895,221219.9
1729886400000,18.895,19.255,17.525,18.231,634237.2
1729900800000,18.231,18.495,18.042,18.399,146304.1
1729915200000,18.399,18.49,18.336,18.336,65686.4
1729929600000,18.336,18.41,18.28,18.347,40022.4
1729944000000,18.347,18.354,17.94,18.061,99165.7
1729958400000,18.061,18.232,18.048,18.223,39277.9
1729972800000,18.223,18.305,18.162,18.209,37815.3
1729987200000,18.209,18.225,18.088,18.176,38600.3
1730001600000,18.176,18.189,18.09,18.167,37971.3
1730016000000,18.167,18.186,18.053,18.115,27766.2
1730030400000,18.115,18.5,18.115,18.493,59077.7
1730044800000,18.493,18.542,18.233,18.292,54791.5
1730059200000,18.292,18.484,18.272,18.409,42850.8
1730073600000,18.409,18.433,18.191,18.225,33129.3
1730088000000,18.225,18.428,18.117,18.316,65264.3
1730102400000,18.316,18.482,18.29,18.458,55497.8
1730116800000,18.458,18.697,18.35,18.434,156728.2
1730131200000,18.434,18.882,18.385,18.752,164031.0
1730145600000,18.752,19.118,18.683,18.98,96986.7
1730160000000,18.98,19.354,18.959,19.169,161011.0
1730174400000,19.169,19.268,19.063,19.125,69396.3
1730188800000,19.125,19.28,19.119,19.254,68896.1
1730203200000,19.254,19.343,19.117,19.325,115015.0
1730217600000,19.325,19.522,19.238,19.29,124820.6
1730232000000,19.29,19.469,19.095,19.43,140840.8
1730246400000,19.43,19.437,19.107,19.374,108462.6
1730260800000,19.374,19.68,19.289,19.562,156918.0
1730275200000,19.562,19.685,19.342,19.474,175158.8
