time,open,high,low,close,volume,supertrend,upperband,lowerband,rsi,adx,pdi,mdi,macd,macd_signal,macd_hist,tp,esa,d,ci,wt1,wt2
2024-01-03 08:00:00,1.625,1.755,1.528,1.683,434727.5,,,,,0.0,0.0,0.0,,,,1.6553333333333333,1.6553333333333333,0.0,,,
2024-01-03 12:00:00,1.683,1.702,1.391,1.55,1026985.8,,,,,0.0,0.0,0.0,,,,1.5476666666666665,1.6357575757575755,0.01601652892561982,-366.66666666666663,-366.66666666666663,
2024-01-03 16:00:00,1.55,1.621,1.497,1.521,236812.9,,,,,0.0,0.0,0.0,,,,1.5463333333333333,1.6194986225895314,0.026407212622088585,-184.71036758848268,-350.1251849322863,
2024-01-03 20:00:00,1.521,1.531,1.389,1.456,275576.5,,,,,0.0,0.0,0.0,,,,1.4586666666666666,1.590256448785374,0.04553131616692839,-192.67293106758845,-335.8113436718592,
2024-01-04 00:00:00,1.456,1.456,1.299,1.376,637277.0,,,,,0.0,0.0,0.0,,,,1.377,1.551482549006215,0.06897699486498049,-168.63839830246502,-320.6138031837325,-343.30424961363616
2024-01-04 04:00:00,1.376,1.414,1.304,1.325,505420.7,,,,,0.0,0.0,0.0,,,,1.3476666666666668,1.5144251158535698,0.08675544110533003,-128.14446914397072,-303.1165909982996,-327.4167306965444
2024-01-04 08:00:00,1.325,1.352,1.29,1.31,339173.7,,,,,0.0,0.0,0.0,,,,1.3173333333333335,1.4785902463044358,0.10030116326274316,-107.18181639208777,-285.30433876137124,-311.21151915381563
2024-01-04 12:00:00,1.31,1.395,1.283,1.372,790008.3,,,,,0.0,0.0,0.0,,,,1.3499999999999999,1.455210201521811,0.10119371567348276,-69.3127373385439,-265.6687386320233,-293.67586789385666
2024-01-04 16:00:00,1.372,1.381,1.335,1.368,356407.5,,,,,0.0,0.0,0.0,,,,1.3613333333333335,1.4381416800329967,0.09676001222369739,-52.92017155605674,-246.32795980693544,-275.1044070496574
2024-01-04 20:00:00,1.368,1.389,1.352,1.355,261343.0,,,,,0.0,0.0,0.0,,,,1.3653333333333333,1.4249037988148758,0.0899982764523965,-44.12711578467589,-227.9460648958209,-256.3117755240377
2024-01-05 00:00:00,1.355,1.369,1.245,1.271,682512.7,1.6745,1.6745,,,0.0,0.0,0.0,,,,1.295,1.40128492630308,0.09295948551615714,-76.22311713748807,-214.1530696450634,-238.52395824496077
2024-01-05 04:00:00,1.271,1.334,1.252,1.3,503567.8,1.64835,1.64835,,,0.0,0.0,0.0,,,,1.2953333333333334,1.3820210003085804,0.09181915487235529,-62.94087335462704,-200.40650634593283,-222.20840017343815
2024-01-05 08:00:00,1.3,1.308,1.242,1.253,372165.2,1.614615,1.614615,,,0.0,0.0,0.0,,,,1.2676666666666667,1.3612293032827778,0.09213615155303816,-67.69882399689895,-188.34217158692974,-207.71195311843672
2024-01-05 12:00:00,1.253,1.281,1.209,1.254,347436.0,1.5722535,1.5722535,,17.978140762024566,0.0,0.0,0.0,,,,1.248,1.3406421572313636,0.09222815258546097,-66.96592788954834,-177.3079676144405,-195.05242879809163
2024-01-05 16:00:00,1.254,1.271,1.238,1.263,105346.7,1.55892815,1.55892815,,20.09574495086524,0.0,0.0,0.0,,,,1.2573333333333332,1.3254950983408125,0.08785244575310065,-51.72442984610825,-165.89128236277392,-182.98698197751926
2024-01-05 20:00:00,1.263,1.284,1.246,1.264,128821.1,1.550385335,1.550385335,,20.341831382792392,0.0,4.279347715993119,32.85222323508561,,,,1.2646666666666668,1.3144353834909677,0.08092813140240979,-40.99828326018401,-154.53737335344755,-171.51969872939793
2024-01-06 00:00:00,1.264,1.45,1.263,1.37,1605813.2,1.550385335,1.550385335,,41.06236783519076,0.0,14.835861598772802,28.747571160729517,,,,1.361,1.3229016774017006,0.07314089343802607,34.72596592454893,-137.33161523726605,-158.767059641982
2024-01-06 04:00:00,1.37,1.385,1.298,1.322,896307.6,1.550385335,1.550385335,,36.43995656251932,0.0,13.961850593666087,27.053992840570185,,,,1.335,1.325101372419573,0.06164229964573532,10.705449166471034,-123.87370029147176,-145.40849281123982
2024-01-06 08:00:00,1.322,1.363,1.313,1.343,552228.9,1.550385335,1.550385335,,39.64126461674608,0.0,13.47068357393774,26.102254462759213,,,,1.3396666666666668,1.3277496077372264,0.052601346788227143,15.103616994723774,-111.23939871999944,-131.74552190054618
2024-01-06 12:00:00,1.343,1.401,1.275,1.318,1168569.0,1.550385335,1.550385335,,37.23678626560396,0.0,12.29670495283232,23.827426423503656,,,,1.3313333333333335,1.3284011942092457,0.04357058175838361,4.486420279854009,-100.71886972001276,-118.29089599218752
2024-01-06 16:00:00,1.318,1.324,1.3,1.314,230539.4,1.550385335,1.550385335,,36.851631955972486,0.0,12.080736974777526,23.408943494404166,,,,1.3126666666666666,1.3255403710196858,0.037989331321044616,-22.591788984517034,-93.61640783496769,-107.36209414161291
2024-01-06 20:00:00,1.314,1.35,1.3,1.348,289573.3,1.550385335,1.550385335,,42.313490408326686,0.0,13.594096256601429,22.52149870634372,,,,1.3326666666666667,1.3268360611373184,0.032142290268008904,12.093321043670619,-84.0064324823642,-97.39527718933601
2024-01-07 00:00:00,1.348,1.353,1.244,1.268,578022.6,1.550385335,1.550385335,,34.70690207175902,0.0,12.483075191510839,24.879737256407612,,,,1.2883333333333333,1.3198355651729576,0.03202591600830261,-65.57654084785055,-82.33098778831751,-90.16817445641554
2024-01-07 04:00:00,1.268,1.297,1.268,1.285,188115.8,1.53523882512237,1.53523882512237,,37.28686343315004,0.0,12.197449566995463,24.31046322876477,,,,1.2833333333333332,1.3131987957475715,0.03163310626392727,-62.9413631087615,-80.5682946356306,-85.13053068532
2024-01-07 08:00:00,1.285,1.303,1.224,1.228,419293.5,1.51466494261013,1.51466494261013,,32.63112482554544,0.0,11.430189181371755,26.284731235231746,,,,1.2516666666666667,1.3020111359146795,0.03503517226103374,-95.79795768837737,-81.95280945860756,-82.21463109122996
2024-01-07 12:00:00,1.228,1.241,1.191,1.202,596979.5,1.45704844834912,1.45704844834912,,30.74532741467287,0.0,10.960270600399909,27.917507600059643,-0.06996048810771693,,,1.2113333333333334,1.2855242627180712,0.042154400828979935,-117.33204272191307,-85.16910339163533,-82.50529881854774
