time,open,high,low,close,volume,supertrend,upperband,lowerband,rsi,adx,pdi,mdi,macd,macd_signal,macd_hist,tp,esa,d,ci,wt1,wt2
2024-09-30 08:00:00,10.351,10.837,9.609,10.017,282751.8,,,,,0.0,0.0,0.0,,,,10.154333333333332,10.154333333333332,0.0,,,
2024-09-30 12:00:00,10.017,10.801,10.003,10.404,402891.9,,,,,0.0,0.0,0.0,,,,10.402666666666667,10.199484848484847,0.036942148760330897,366.6666666666667,366.6666666666667,
2024-09-30 16:00:00,10.404,10.643,10.136,10.367,95001.8,,,,,0.0,0.0,0.0,,,,10.382,10.232669421487602,0.05737640871525218,173.50984705635867,349.10695579300227,
2024-09-30 20:00:00,10.367,11.636,10.337,11.264,346537.9,,,,,0.0,0.0,0.0,,,,11.078999999999999,10.386547708489855,0.17284475104159602,267.0806363657913,341.6500176632558,
2024-10-01 00:00:00,11.264,12.563,11.125,12.042,516359.3,,,,,0.0,0.0,0.0,,,,11.910000000000002,10.663539034218973,0.3680476991760384,225.7788811199429,331.1162779775001,347.13497952510625
2024-10-01 04:00:00,12.042,12.536,11.237,11.508,649837.7,,,,,0.0,0.0,0.0,,,,11.760333333333334,10.862956179512492,0.46428941820236613,128.85312747313264,312.7287188407394,333.6504925686244
2024-10-01 08:00:00,11.508,11.861,11.141,11.719,294225.6,,,,,0.0,0.0,0.0,,,,11.573666666666668,10.992176268085979,0.48559868736206113,79.83140725242959,291.55623596907486,319.2628126126425
2024-10-01 12:00:00,11.719,11.74,10.012,10.667,608166.6,,,,,0.0,0.0,0.0,,,,10.806333333333335,10.958386643585497,0.42495407334207946,-23.854077383990987,262.88257111879614,299.5709509765276
2024-10-01 16:00:00,10.667,10.951,9.975,10.312,306117.3,,,,,0.0,0.0,0.0,,,,10.412666666666667,10.859164829600255,0.42887118054053563,-69.40672525035549,232.67445326705507,274.9604947989164
2024-10-01 20:00:00,10.312,10.791,10.19,10.583,124445.9,,,,,0.0,0.0,0.0,,,,10.521333333333333,10.797740921188087,0.40115052732493894,-45.93580531111689,207.3462479417667,248.6148770741732
2024-10-02 00:00:00,10.583,10.73,10.194,10.369,76953.5,13.4326,13.4326,,,0.0,0.0,0.0,,,,10.431,10.731060753699344,0.3827705684839219,-52.261202646418354,183.74557061556806,221.6622107357965
2024-10-02 04:00:00,10.369,10.559,10.015,10.363,113485.2,13.12374,13.12374,,,0.0,0.0,0.0,,,,10.312333333333333,10.654928495450978,0.37546594914459874,-60.83022315750311,161.51140754528885,196.31941984241968
2024-10-02 08:00:00,10.363,10.605,9.982,10.074,110627.8,13.033466,13.033466,,,0.0,0.0,0.0,,,,10.220333333333334,10.57591119324777,0.3718499329209326,-63.74934768645724,141.03315706967555,173.4090957930748
2024-10-02 12:00:00,10.074,11.22,9.955,11.07,217988.7,13.033466,13.033466,,57.9435121167557,0.0,0.0,0.0,,,,10.748333333333335,10.607260673263326,0.32989042876621916,28.508993243123477,130.80368763089808,154.27345571535764
2024-10-02 16:00:00,11.07,11.146,9.967,10.081,164923.4,13.033466,13.033466,,45.72259496425377,0.0,0.0,0.0,,,,10.398,10.56921327812454,0.3010400377404593,-37.91594841439908,115.46553889950742,137.20344778634248
2024-10-02 20:00:00,10.081,10.291,9.914,10.12,78158.8,12.838760214,12.838760214,,46.204430133146644,0.0,18.542998778647895,10.76282005228051,,,,10.108333333333333,10.485416924526138,0.3148661383681586,-79.83997964915046,97.71049175872034,121.25321883970034
2024-10-03 00:00:00,10.12,10.22,10.007,10.195,54291.5,12.6400341926,12.6400341926,,47.17560029288731,0.0,18.219642874298422,10.575136201739396,,,,10.140666666666666,10.422735059460779,0.3089029119001502,-60.875306755560445,83.2936009846948,106.81832981845515
2024-10-03 04:00:00,10.195,10.398,9.964,9.983,62456.7,12.58508077334,12.58508077334,,44.71811146372485,0.0,19.059705487428023,10.18539742770729,,,,10.115,10.36678323046791,0.29851751527610637,-56.22969453680211,70.60966502819508,91.7698241677794
2024-10-03 08:00:00,9.983,10.004,9.505,9.911,98108.2,12.067872696006,12.067872696006,,43.88204218292979,0.0,18.227903661802024,13.755242739701638,,,,9.806666666666667,10.26494385523132,0.3275647286012966,-93.26954309590434,55.7115551987315,76.83132824258543
2024-10-03 12:00:00,9.911,9.912,9.387,9.654,137440.1,11.8890354264054,11.8890354264054,,40.93972780696906,0.0,17.369042427498787,14.166155814305545,,,,9.651,10.153317699734716,0.35933799608010014,-93.19316914517519,42.17476207655817,62.947395822044896
2024-10-03 16:00:00,9.654,9.929,9.475,9.888,73061.0,11.8537818837649,11.8537818837649,,44.583165721535295,0.0,16.79632680355597,13.570673443111886,,,,9.764000000000001,10.082532663419311,0.35191884468722917,-60.342068108043215,32.855050241594405,50.33775813626979
2024-10-03 20:00:00,9.888,10.142,9.784,10.107,51628.6,11.8537818837649,11.8537818837649,,47.82711266160022,0.0,18.26807312891565,13.102940955651125,,,,10.011000000000001,10.0695267246158,0.29857482285606,-13.068019613074599,28.680225709351767,39.85539830655896
2024-10-04 00:00:00,10.107,10.175,9.936,10.014,30771.5,11.8537818837649,11.8537818837649,,46.58014166775214,0.0,18.160215021192247,12.786105356551456,,,,10.041666666666666,10.06446125953414,0.24843296285813518,-6.116899734299787,25.516850669019806,32.30672217413104
2024-10-04 04:00:00,10.014,10.058,9.861,9.925,61515.0,11.7387729932646,11.7387729932646,,45.36126684953213,0.0,17.778608348896725,13.317426691410953,,,,9.948,10.043286485073386,0.22058814871545343,-28.797704569432693,20.57916382916049,26.907822612281617
2024-10-04 08:00:00,9.925,10.014,9.727,9.966,66991.8,11.5579456939381,11.5579456939381,,46.06148890694653,0.0,17.21118639463331,14.38254219885362,,,,9.902333333333333,10.017658639302466,0.20144945003430426,-38.16517607750385,15.238769292191005,22.503752374930766
2024-10-04 12:00:00,9.966,10.62,9.833,10.381,179535.3,11.5579456939381,11.5579456939381,,52.67289760546043,0.0,22.361078272221405,13.143732483599942,-0.09079220881322314,,,10.278,10.064993432156562,0.2035507441814195,69.7636253472634,20.195574388106678,20.382589544619496
2024-10-04 16:00:00,10.381,11.082,10.315,10.58,221160.1,11.5579456939381,11.5579456939381,,55.490242049253965,0.0,25.501041405065944,12.054033249341908,-0.04734190509751812,,,10.658999999999999,10.172994626309915,0.254906131364813,127.10701807182227,29.914796541171732,21.482076012657476
2024-10-04 20:00:00,10.58,10.616,9.941,10.118,64890.7,11.5579456939381,11.5579456939381,,48.30133673853302,20.510263470528933,23.643284695765217,15.212336490125287,-0.049614836316294486,,,10.225000000000001,10.18245014879902,0.2162958986077526,13.11470427775551,28.38751542631571,23.434163911946282
2024-10-05 00:00:00,10.118,10.211,9.878,9.955,33470.4,11.5579456939381,11.5579456939381,,46.03529757656961,20.434326723432832,22.762292490929152,15.350450557961832,-0.06383306064648764,,,10.014666666666665,10.151944061138591,0.2019288978557842,-45.32202371878727,21.686648231306346,25.046133646725117
