time,open,high,low,close,volume,supertrend,upperband,lowerband,rsi,adx,pdi,mdi,macd,macd_signal,macd_hist,tp,esa,d,ci,wt1,wt2
2024-08-20 08:00:00,0.5884,0.5945,0.575,0.5826,1919052.0,,,,,0.0,0.0,0.0,,,,0.5840333333333333,0.5840333333333333,0.0,,,
2024-08-20 12:00:00,0.5826,0.5855,0.5252,0.5522,4586870.0,,,,,0.0,0.0,0.0,,,,0.5543,0.5786272727272727,0.004423140495867753,-366.6666666666667,-366.6666666666667,
2024-08-20 16:00:00,0.5522,0.582,0.5453,0.5525,2062450.0,,,,,0.0,0.0,0.0,,,,0.5599333333333333,0.5752283746556472,0.006399849737039791,-159.32708788241627,-347.8176140499166,
2024-08-20 20:00:00,0.5525,0.5553,0.5433,0.5455,575711.0,,,,,0.0,0.0,0.0,,,,0.5480333333333333,0.5702838216879538,0.009281784031145376,-159.81473877549232,-330.7264435704235,
2024-08-21 00:00:00,0.5455,0.5682,0.5434,0.5584,1488603.0,,,,,0.0,0.0,0.0,,,,0.5566666666666668,0.567807975320447,0.009619879417078992,-77.21031398099892,-307.6795226986576,-338.2225617464161
2024-08-21 04:00:00,0.5584,0.5822,0.5531,0.5614,2041410.0,,,,,0.0,0.0,0.0,,,,0.5655666666666667,0.5674004646561233,0.008204228248420375,-14.901243065811206,-281.06331545930794,-316.8217239445764
2024-08-21 08:00:00,0.5614,0.5721,0.5394,0.5668,2105098.0,,,,,0.0,0.0,0.0,,,,0.5594333333333333,0.5659518953247069,0.007897743474411866,-55.024678990003125,-260.51434850755294,-294.9959075589855
2024-08-21 12:00:00,0.5668,0.5976,0.5451,0.5619,3962629.0,,,,,0.0,0.0,0.0,,,,0.5682,0.5663606416293057,0.006796218910099594,18.042957856669183,-235.1909570198964,-271.1120359213537
2024-08-21 16:00:00,0.5619,0.5734,0.556,0.5662,1246946.0,,,,,0.0,0.0,0.0,,,,0.5652,0.5661496158785227,0.005733200177085616,-11.042301555748066,-214.81380652315562,-247.89560687747823
2024-08-21 20:00:00,0.5662,0.5732,0.5569,0.559,629740.0,,,,,0.0,0.0,0.0,,,,0.5630333333333334,0.5655830190521246,0.005154379366486634,-32.9775974629661,-198.28324206313837,-227.20058852843582
2024-08-22 00:00:00,0.559,0.5916,0.5575,0.5837,1738240.0,0.47978,,0.47978,,0.0,0.0,0.0,,,,0.5776,0.567767924679011,0.00600486954003251,109.15669086499115,-170.33415725149024,-204.65554071442017
2024-08-22 04:00:00,0.5837,0.6001,0.5711,0.577,1853264.0,0.491607,,0.491607,,0.0,0.0,0.0,,,,0.5827333333333333,0.570488908070706,0.007139334216867939,114.33769490435814,-144.45489796459495,-181.9715259505948
2024-08-22 08:00:00,0.577,0.5862,0.563,0.58,1271423.0,0.491607,,0.491607,,0.0,0.0,0.0,,,,0.5764,0.5715636520578503,0.006720609439646443,47.975291383734394,-126.9612443874741,-160.0083854166744
2024-08-22 12:00:00,0.58,0.595,0.5633,0.5808,1513788.0,0.491607,,0.491607,55.772268812303324,0.0,0.0,0.0,,,,0.5797,0.5730429880473321,0.006709046260195794,66.14961048600276,-109.40571212624891,-137.78900293245204
2024-08-22 16:00:00,0.5808,0.5844,0.5597,0.5629,916339.0,0.491607,,0.491607,43.46184352250358,0.0,0.0,0.0,,,,0.569,0.5723078993114535,0.006090655905879029,-36.20736816714738,-102.75131722087605,-120.8932929247985
2024-08-22 20:00:00,0.5629,0.5804,0.5629,0.57,699754.0,0.491607,,0.491607,48.33326558734729,0.0,19.871605795089746,17.41303027674159,,,,0.5710999999999999,0.5720882812548256,0.005162951423869322,-12.761192500044645,-94.57039679170956,-108.42216763157714
2024-08-23 00:00:00,0.57,0.588,0.5636,0.5693,1244292.0,0.491607,,0.491607,47.89510868937644,0.0,20.54815143793771,16.3682646262165,,,,0.5736333333333333,0.5723691998145543,0.00445407544112564,18.921001458679115,-84.25299695076514,-97.74510577239992
2024-08-23 04:00:00,0.5693,0.5857,0.5678,0.5721,741338.0,0.494836554687,,0.494836554687,49.8533669535804,0.0,19.61821777405245,15.627497246665364,,,,0.5752,0.5728838907573626,0.0040653543141277925,37.98126089672112,-73.14079169190275,-88.67887566381337
2024-08-23 08:00:00,0.5721,0.581,0.567,0.5682,793468.0,0.4960778992183,,0.4960778992183,47.19289113039422,0.0,18.897854759612333,15.263493185517033,,,,0.5720666666666666,0.5727353045590542,0.003447769510175026,-12.92889775866788,-67.66698315251776,-79.9077921467238
